Id,MSSubClass,OverallQual,OverallCond,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,KitchenQual,FireplaceQu,GarageFinish,GarageQual,GarageCond,PoolQC,SalePrice,MSZoning_RL,MSZoning_RM,MSZoning_C (all),MSZoning_FV,MSZoning_RH,Alley_nan,Alley_Grvl,Alley_Pave,LotShape_Reg,LotShape_IR1,LotShape_IR2,LotShape_IR3,LandContour_Lvl,LandContour_Bnk,LandContour_Low,LandContour_HLS,LotConfig_Inside,LotConfig_FR2,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR3,LandSlope_Gtl,LandSlope_Mod,LandSlope_Sev,Neighborhood_CollgCr,Neighborhood_Veenker,Neighborhood_Crawfor,Neighborhood_NoRidge,Neighborhood_Mitchel,Neighborhood_Somerst,Neighborhood_NWAmes,Neighborhood_OldTown,Neighborhood_BrkSide,Neighborhood_Sawyer,Neighborhood_NridgHt,Neighborhood_NAmes,Neighborhood_SawyerW,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Edwards,Neighborhood_Timber,Neighborhood_Gilbert,Neighborhood_StoneBr,Neighborhood_ClearCr,Neighborhood_NPkVill,Neighborhood_Blmngtn,Neighborhood_BrDale,Neighborhood_SWISU,Neighborhood_Blueste,Condition1_Norm,Condition1_Feedr,Condition1_PosN,Condition1_Artery,Condition1_RRAe,Condition1_RRNn,Condition1_RRAn,Condition1_PosA,Condition1_RRNe,Condition2_Norm,Condition2_Artery,Condition2_RRNn,Condition2_Feedr,Condition2_PosN,Condition2_PosA,Condition2_RRAn,Condition2_RRAe,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_TwnhsE,BldgType_Twnhs,HouseStyle_2Story,HouseStyle_1Story,HouseStyle_1.5Fin,HouseStyle_1.5Unf,HouseStyle_SFoyer,HouseStyle_SLvl,HouseStyle_2.5Unf,HouseStyle_2.5Fin,RoofStyle_Gable,RoofStyle_Hip,RoofStyle_Gambrel,RoofStyle_Mansard,RoofStyle_Flat,RoofStyle_Shed,Exterior1st_VinylSd,Exterior1st_MetalSd,Exterior1st_Wd Sdng,Exterior1st_HdBoard,Exterior1st_BrkFace,Exterior1st_WdShing,Exterior1st_CemntBd,Exterior1st_Plywood,Exterior1st_AsbShng,Exterior1st_Stucco,Exterior1st_BrkComm,Exterior1st_AsphShn,Exterior1st_Stone,Exterior1st_ImStucc,Exterior1st_CBlock,Exterior2nd_VinylSd,Exterior2nd_MetalSd,Exterior2nd_Wd Shng,Exterior2nd_HdBoard,Exterior2nd_Plywood,Exterior2nd_Wd Sdng,Exterior2nd_CmentBd,Exterior2nd_BrkFace,Exterior2nd_Stucco,Exterior2nd_AsbShng,Exterior2nd_Brk Cmn,Exterior2nd_ImStucc,Exterior2nd_AsphShn,Exterior2nd_Stone,Exterior2nd_Other,Exterior2nd_CBlock,MasVnrType_BrkFace,MasVnrType_nan,MasVnrType_Stone,MasVnrType_BrkCmn,Foundation_PConc,Foundation_CBlock,Foundation_BrkTil,Foundation_Wood,Foundation_Slab,Foundation_Stone,Heating_GasA,Heating_GasW,Heating_Grav,Heating_Wall,Heating_OthW,Heating_Floor,Electrical_SBrkr,Electrical_FuseF,Electrical_FuseA,Electrical_FuseP,Electrical_Mix,Electrical_nan,Functional_Typ,Functional_Min1,Functional_Maj1,Functional_Min2,Functional_Mod,Functional_Maj2,Functional_Sev,GarageType_Attchd,GarageType_Detchd,GarageType_BuiltIn,GarageType_CarPort,GarageType_nan,GarageType_Basment,GarageType_2Types,PavedDrive_Y,PavedDrive_N,PavedDrive_P,Fence_nan,Fence_MnPrv,Fence_GdWo,Fence_GdPrv,Fence_MnWw,SaleType_WD,SaleType_New,SaleType_COD,SaleType_ConLD,SaleType_ConLI,SaleType_CWD,SaleType_ConLw,SaleType_Con,SaleType_Oth,SaleCondition_Normal,SaleCondition_Abnorml,SaleCondition_Partial,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,LotFrontage_percentile,LotArea_percentile,YearBuilt_percentile,YearRemodAdd_percentile,MasVnrArea_percentile,BsmtFinSF1_percentile,BsmtFinSF2_percentile,BsmtUnfSF_percentile,TotalBsmtSF_percentile,1stFlrSF_percentile,2ndFlrSF_percentile,LowQualFinSF_percentile,BsmtFullBath_percentile,BsmtHalfBath_percentile,FullBath_percentile,HalfBath_percentile,BedroomAbvGr_percentile,KitchenAbvGr_percentile,TotRmsAbvGrd_percentile,Fireplaces_percentile,GarageYrBlt_percentile,GarageCars_percentile,GarageArea_percentile,WoodDeckSF_percentile,OpenPorchSF_percentile,EnclosedPorch_percentile,3SsnPorch_percentile,ScreenPorch_percentile,PoolArea_percentile,MiscVal_percentile,MoSold_percentile,YrSold_percentile
1,0.375,0.7,0.5,0.8,0.6,0.8333333333333334,0.6666666666666666,0.4,1.0,0.2857142857142857,1.0,1,0.8,0.16666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.2,208500.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4350541215653622,0.34965753424657536,0.7958904109589041,0.7246575342465753,0.7896005509641874,0.7476027397260274,0.44315068493150683,0.1773972602739726,0.32465753424657534,0.21027397260273972,0.836986301369863,0.4914383561643836,0.788013698630137,0.47226027397260273,0.7147260273972603,0.8089041095890411,0.5592465753424658,0.4777397260273973,0.8321917808219178,0.23664383561643837,0.7799129804205946,0.5907534246575342,0.6832191780821918,0.26095890410958905,0.7184931506849315,0.4291095890410959,0.49212328767123287,0.4606164383561644,0.49794520547945204,0.48253424657534244,0.05787671232876712,0.5448630136986301
2,0.0625,0.6,0.8,0.6,0.6,0.8333333333333334,0.6666666666666666,1.0,0.8571428571428571,0.2857142857142857,1.0,1,0.6,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.2,181500.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7352206494587843,0.5256849315068494,0.5308219178082192,0.3523972602739726,0.296831955922865,0.8664383561643836,0.44315068493150683,0.3065068493150685,0.7318493150684932,0.6633561643835616,0.2842465753424658,0.4914383561643836,0.2934931506849315,0.9715753424657534,0.7147260273972603,0.313013698630137,0.5592465753424658,0.4777397260273973,0.40513698630136985,0.6955479452054795,0.4372733865119652,0.5907534246575342,0.45684931506849313,0.928082191780822,0.225,0.4291095890410959,0.49212328767123287,0.4606164383561644,0.49794520547945204,0.48253424657534244,0.3147260273972603,0.32808219178082193
3,0.375,0.7,0.5,0.8,0.6,0.8333333333333334,0.6666666666666666,0.6,1.0,0.2857142857142857,1.0,1,0.8,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.2,223500.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.48376353039134057,0.7202054794520548,0.7578767123287671,0.6907534246575342,0.7462121212121212,0.5681506849315069,0.44315068493150683,0.46643835616438356,0.4195205479452055,0.3051369863013699,0.8479452054794521,0.4914383561643836,0.788013698630137,0.47226027397260273,0.7147260273972603,0.8089041095890411,0.5592465753424658,0.4777397260273973,0.40513698630136985,0.6955479452054795,0.7356780275562002,0.5907534246575342,0.788013698630137,0.26095890410958905,0.6126712328767123,0.4291095890410959,0.49212328767123287,0.4606164383561644,0.49794520547945204,0.48253424657534244,0.8232876712328767,0.5448630136986301
4,0.4375,0.7,0.5,0.6,0.6,0.6666666666666666,0.8333333333333334,0.4,0.8571428571428571,0.2857142857142857,0.8,1,0.8,0.8333333333333334,0.5,0.6666666666666666,0.6666666666666666,0.2,140000.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3130724396336386,0.5102739726027398,0.04417808219178082,0.288013698630137,0.296831955922865,0.398972602739726,0.44315068493150683,0.5458904109589041,0.20342465753424657,0.3558219178082192,0.773972602739726,0.4914383561643836,0.788013698630137,0.47226027397260273,0.22910958904109588,0.313013698630137,0.5592465753424658,0.4777397260273973,0.6554794520547945,0.6955479452054795,0.6758520667150109,0.934931506849315,0.8205479452054795,0.26095890410958905,0.5561643835616439,0.9924657534246575,0.49212328767123287,0.4606164383561644,0.49794520547945204,0.48253424657534244,0.05787671232876712,0.10787671232876712
5,0.375,0.8,0.5,0.8,0.6,0.8333333333333334,0.6666666666666666,0.8,1.0,0.2857142857142857,1.0,1,0.8,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.2,250000.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7868442964196503,0.8972602739726028,0.7428082191780822,0.6410958904109589,0.9132231404958677,0.7003424657534246,0.44315068493150683,0.5116438356164383,0.6527397260273973,0.5674657534246575,0.9267123287671233,0.4914383561643836,0.788013698630137,0.47226027397260273,0.7147260273972603,0.8089041095890411,0.9075342465753424,0.4777397260273973,0.9219178082191781,0.6955479452054795,0.7186366932559826,0.934931506849315,0.9397260273972603,0.7996575342465754,0.803082191780822,0.4291095890410959,0.49212328767123287,0.4606164383561644,0.49794520547945204,0.48253424657534244,0.9801369863013699,0.5448630136986301
6,0.3125,0.5,0.5,0.6,0.6,0.8333333333333334,0.6666666666666666,0.4,1.0,0.2857142857142857,1.0,1,0.6,0.16666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.2,143000.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8072439633638634,0.8897260273972603,0.6493150684931507,0.5246575342465754,0.296831955922865,0.7595890410958904,0.44315068493150683,0.09691780821917809,0.2523972602739726,0.13904109589041097,0.6458904109589041,0.4914383561643836,0.788013698630137,0.47226027397260273,0.22910958904109588,0.8089041095890411,0.021575342465753426,0.4777397260273973,0.17328767123287672,0.23664383561643837,0.6022480058013053,0.5907534246575342,0.5078767123287671,0.5349315068493151,0.5318493150684932,0.4291095890410959,0.9986301369863013,0.4606164383561644,0.49794520547945204,0.989041095890411,0.8753424657534247,0.7647260273972603
7,0.0625,0.8,0.5,0.8,0.6,1.0,0.6666666666666666,0.8,1.0,0.2857142857142857,1.0,1,0.8,0.8333333333333334,0.75,0.6666666666666666,0.6666666666666666,0.2,307000.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6328059950041632,0.5845890410958904,0.8297945205479452,0.8095890410958904,0.7830578512396694,0.9691780821917808,0.44315068493150683,0.3424657534246575,0.9287671232876712,0.9089041095890411,0.2842465753424658,0.4914383561643836,0.788013698630137,0.47226027397260273,0.7147260273972603,0.313013698630137,0.5592465753424658,0.4777397260273973,0.6554794520547945,0.6955479452054795,0.817258883248731,0.5907534246575342,0.8178082191780822,0.8952054794520548,0.701027397260274,0.4291095890410959,0.49212328767123287,0.4606164383561644,0.49794520547945204,0.48253424657534244,0.7599315068493151,0.32808219178082193
8,0.375,0.7,0.6,0.6,0.6,0.8333333333333334,0.6666666666666666,0.6,0.8571428571428571,0.7142857142857143,1.0,1,0.6,0.6666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.2,200000.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.6215753424657534,0.5034246575342466,0.3267123287671233,0.8298898071625345,0.8253424657534246,0.886986301369863,0.24383561643835616,0.6195205479452055,0.5219178082191781,0.9092465753424658,0.4914383561643836,0.788013698630137,0.47226027397260273,0.7147260273972603,0.8089041095890411,0.5592465753424658,0.4777397260273973,0.6554794520547945,0.9575342465753425,0.40210297316896304,0.5907534246575342,0.5311643835616439,0.8719178082191781,0.964041095890411,0.9767123287671233,0.49212328767123287,0.4606164383561644,0.49794520547945204,0.9657534246575342,0.9328767123287671,0.7647260273972603
9,0.3125,0.7,0.5,0.6,0.6,0.6666666666666666,0.6666666666666666,0.4,0.2857142857142857,0.2857142857142857,0.8,1,0.6,0.6666666666666666,0.5,0.5,0.6666666666666666,0.2,129900.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.17735220649458786,0.1482876712328767,0.13527397260273974,0.0613013698630137,0.296831955922865,0.16027397260273973,0.44315068493150683,0.8253424657534246,0.4575342465753425,0.4215753424657534,0.7691780821917809,0.4914383561643836,0.2934931506849315,0.47226027397260273,0.7147260273972603,0.313013698630137,0.1613013698630137,0.9767123287671233,0.8321917808219178,0.9575342465753425,0.05692530819434373,0.5907534246575342,0.47636986301369866,0.5705479452054795,0.225,0.9647260273972603,0.49212328767123287,0.4606164383561644,0.49794520547945204,0.48253424657534244,0.19657534246575342,0.5448630136986301
10,1.0,0.5,0.6,0.6,0.6,0.6666666666666666,0.6666666666666666,0.4,1.0,0.2857142857142857,1.0,1,0.6,0.6666666666666666,0.75,0.8333333333333334,0.6666666666666666,0.2,118000.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.14737718567860117,0.23938356164383562,0.1613013698630137,0.0613013698630137,0.296831955922865,0.8232876712328767,0.44315068493150683,0.17054794520547945,0.49965753424657533,0.48835616438356166,0.2842465753424658,0.4914383561643836,0.788013698630137,0.47226027397260273,0.22910958904109588,0.313013698630137,0.1613013698630137,0.9767123287671233,0.17328767123287672,0.9575342465753425,0.07614213197969544,0.1821917808219178,0.07054794520547945,0.26095890410958905,0.45,0.4291095890410959,0.49212328767123287,0.4606164383561644,0.49794520547945204,0.48253424657534244,0.020205479452054795,0.5448630136986301
